question_title_list,answer_count_list,no_of_view_list,anonymity_label,non_anonymous_answer_count,anonymous_answer_count
What would happen if we found secret (russian) nobles?,3,972,0,3,0
What would you name a folder on your computer so that someone snooping wouldn't be interested in opening it?,2,1123,0,2,0
What are the secrets of being knowledgeable?,5,1644,0,4,1
"Besides the Gestapo, did any other secret police organisations call themselves ""secret police?""",1,819,0,1,0
Are there any units in the NYPD so secret that other cops don't even know they exist?,2,2581,1,2,0
Why do some people have a secret admirer?,1,3897,0,1,0
What are some problems faced by boys which girls can never understand?,3,6467,0,3,0
What's something good you have done and kept secret?,3,4987,0,3,0
What are the secrets that made D-Day or Operation Overlord successful?,3,819,0,3,0
Did you find any Avengers: Endgame Easter eggs?,5,7662,0,5,0
"If someone has shared his secrets over Facebook Messenger to his friends over the last 10 years, are his secrets safe with Facebook? Can third-parties like Cambridge Analytica get hold of his secrets?",3,411,1,3,0
My best friend gets mad at me for not sharing my secrets with her. What should I do?,10,11350,1,10,0
Why is the TTIP secret?,1,347,1,1,0
What is the next investment opportunity out there that is still currently in the dark and no one yet is talking about which is the world's best kept secret at the very moment?,2,1145,0,2,0
"Did you ever arrange a surprise party for your wife’s birthday, in your home? How did you keep the secret and how did you get her out of the house?",2,756,0,2,0
What makes people spill someone else's secret?,11,2771,0,10,1
What is the secret why most guys naturally kind to girls they know or may not know but not always kind to their fellow man?,5,860,0,5,0
"Besides patriotism, what prevents the world political leaders (current & former) spilling some national secrets or confidential information to anyone?",1,198,0,1,0
What is the biggest secret about your cousin of opposite sex that you cannot share in the family?,8,65204,1,1,7
Would you please tell me your secret of scoring 350 in Bio?,1,1316,0,1,0
What secrets do girls hide from their parents?,1,4699,0,0,1
"What's your secret ""superpower"" or talent that only you have?",7,1653,0,7,0
How does one become ageless? What are the secrets?,3,755,0,3,0
Which is most dangerous secret weapon?,3,3376,0,3,0
What is the secret key cryptograph?,1,401,0,1,0
Has anyone secretly lived in the basement of their former home despite selling it?,1,267,1,1,0
Is there any secrets that the Pentagon is hiding?,3,1049,0,3,0
Why do people refrain from telling others who they vote for?,20,11732,1,19,1
"Why was the Chamber of Secrets built in the book ""Harry Potter""?",4,2450,1,4,0
"What are some secrets that you know, that others don't?",3,3416,1,2,1
"What is the secret of extremely high achievers, those that have it all and make it look easy?",1,418,0,1,0
Has someone found and read something you have written that you wish they had not seen? What happened?,3,641,0,2,1
What's the secret behind Pixar's ability to make inanimate objects so human-like?,2,1392,0,2,0
"If someone offered to reward you with anything you want if you promised to keep their secrets about his or her personal matters, would you accept it?",16,1536,1,16,0
Was FDR's polio kept secret?,2,808,0,2,0
What is the darkest secret of your life that kept haunting you?,4,20978,0,3,1
What is the open secret of your fitness?,4,1583,0,4,0
What is the deepest and darkest secret of the Universe that very few know?,7,6730,0,7,0
Does life have no secrets? Why or why not?,1,821,0,1,0
How were secret cities in the USSR kept secret?,1,1719,0,1,0
What is it that you haven't shared your hostel life secrets with anyone yet?,5,12086,0,4,1
What are some hidden secrets of Roadies?,1,2468,0,1,0
Are the true rates of ice melt from Greenland and Antarctica kept secret to avoid political and economic dislocation?,2,643,0,2,0
How can I contact my secret ruling class or shadow government?,4,763,1,4,0
How can I paste a secret photo on paper such that it can only be revealed through a certain technique?,1,188,1,1,0
What is something you tell people openly but won't tell your parents?,1,374,0,1,0
Which is the worst scenario to have a conversation?,1,841,0,1,0
What is secret weapon 8 at Alton Towers?,1,432,0,1,0
How will a psychopath react when a deep dark secret is revealed by someone he feels is beneath him?,5,2182,1,5,0
"Why do you hide your secrets, the secrets that will not harm, after telling them to someone?",5,307,0,5,0
What was the first secret you remember having?,7,2076,0,6,1
"What's a wholesome secret you know about that ""bad person""?",2,669,0,2,0
What is your secret hobby?,1,5871,0,1,0
"What is the ""secret"" of doing more with less?",2,494,0,2,0
Is it bad to be secretive?,2,1239,0,2,0
What are the dirtiest Secrets of MANIT BHOPAL?,1,1113,1,1,0
Does fucking bring good luck?,3,573,1,3,0
"What is the secret you have hid from everyone, which is deep in your heart?",4,3070,1,3,1
What is the secret behind Justin Trudeau's success?,1,2375,1,1,0
"If teenage girls really have sex in India, why don't we hear so much about teenage pregnancy and pregnancy before marriage in India?",4,5807,1,4,0
What is something significant about you that you shared with only one person but no one else? Who was that person and why did you need to share?,5,3402,0,2,3
Why would a software engineer / developer get sponsored for a Top Secret instead of a Secret?,5,942,0,5,0
What are the best kept secrets in Bahrain of things to do and places to visit?,2,4716,0,2,0
What are some untold secrets of the Service Selection Board interview?,5,16713,1,5,0
Why did the Empire keep the Death Star and its capabilities secret?,3,770,0,3,0
What are some unknown fashion modelling secrets?,2,7872,0,2,0
Is it wrong to talk about periods to boys?,3,2976,0,3,0
Are there any healthy people out there who might secretly want to have cancer?,7,2172,0,7,0
What are some dark secrets about IIT?,8,69732,1,7,1
Why didn't Harry share his fears and secrets with Ginny?,4,2222,1,4,0
What are some secret tips about Google?,1,346,0,1,0
What are the deep secret about solar system and universe?,4,1809,0,4,0
Is a romantic relationship with another person impossible if you won't share any secrets you have promised to keep?,5,674,0,5,0
What are some of the most messed up family secrets?,154,4096759,0,49,105
What are some food service industry secrets?,4,786,0,4,0
What are the secrets to winning stuff on auction sites?,1,404,0,1,0
What if aliens abducted and injected a young man of 25 years with a strange potion as an experiment which made him immortal for 250 yrs without aging?,6,725,0,6,0
What is the biggest secret of Jagannath temple?,11,27824,0,11,0
What technologies is the military hiding from us that could be put to great civilian uses?,2,1101,0,2,0
"Have you ever known someone who was married, but was also secretly married, and had another family?",3,412,0,2,1
What are some dirty secrets of Indian cricket?,2,6224,1,2,0
Do most people have dark spots in their pasts that they would hate to have brought to light?,6,772,0,6,0
What should I do if I tell someone my friend's secret and they tell that friend?,10,4116,1,9,1
How do you find someone's secret email accounts?,8,5505,1,8,0
"Why do I have the desire to help people secretly, without telling them anything about myself?",5,1175,0,4,1
What secrets do your doorman or front desk concierge know about you?,2,2551,0,2,0
What was the biggest secret you found out only after someone passed away?,36,703557,0,31,5
"If a person signed the Official Secrets Act for something so unimportant that it was never declassified, is it ever legal to tell someone about it?",4,952,1,4,0
What is the secret of the top 5 % that climbed the ladder of success?,1,759,1,1,0
What little clue did you notice like a monk or Sherlock Holmes that led you to find out someone’s secret?,1,347,0,1,0
Would you join a secret warrior society?,2,371,0,1,1
Why does a spouse tell the other spouse's secrets to friends?,3,2850,0,3,0
Are you a Mormon with secrets?,3,905,1,3,0
"What is best, secrecy or openness about the incentives of individual employees/owners in typical small startups?",2,1119,1,2,0
What is the opposite of secret?,3,4940,1,3,0
Has a secret society already offered you money to become a member?,9,2047,0,8,1
What should yellow taxis do to face competition from Ola and Uber?,3,292,1,3,0
"If the masons are who they say they are, why have secrets?",3,1565,0,3,0
What are some secret nazi weapon programs?,1,1723,0,1,0
What is the darkest Jrpg?,6,2722,0,6,0
What's the grossest secret about yourself?,11,2078,0,10,1
What are the darkest secrets of Christianity?,3,6734,1,2,1
Is there a secret signal from pilot to crew?,6,2943,1,6,0
What is the greatest secret of wealth?,198,2137434,1,179,19
What are some hard facts to accept about World War II?,5,2631,0,5,0
Would you confide a secret to a stranger?,4,2567,0,3,1
My girlfriend has had a secret admirer for several years.  Why doesn't he reveal himself to her so that they can enjoy their lives together?,3,1158,0,2,1
"How common is it for people to send ""secret messages"" in the form of DNA sequences?",1,1048,1,1,0
Before the turn of the century there was a day when the US Congress held a secret session. Does anyone know the date of that and what was discussed?,2,964,0,2,0
How can I chat with a person in a secret language that other people besides us can't understand?,4,1688,1,4,0
What are some dark secrets about the life of Indian villagers?,1,739,0,1,0
Does the USA have a Secret Space Program?,2,1170,0,2,0
Do you know any insider secrets about the investment industry?,3,1861,0,3,0
What are the best kept secrets of politicians?,5,3662,0,4,1
What are the secrets that powerful people gain and maintain power?,1,2107,0,1,0
Is it possible for a single person to secretly control the world?,3,1001,0,3,0
Have you ever uncovered a secret that affected you on a personal level in a big way? Did you keep it or tell?,38,661419,0,35,3
What are the best kept secrets about Asian cuisine and cooking?,1,1451,1,1,0
What's the most horrific thing you've done that no one knows about?,6,8925,0,6,0
What are the secrets behind millionaires?,1,640,0,1,0
What is the secret in having my wife become a nympho?,9,16302,1,9,0
Can I be an honest person and still have secrets?,2,461,1,2,0
Were there are any surprising secrets that came out about your ex after your divorce?,1,953,0,1,0
Which books have been written on Mossad?,3,2840,0,3,0
What are the secrets to a happy retirement?,18,457002,0,16,2
Is it ok to reveal office secrets to your partner?,3,1305,0,3,0
"Should I tell my husband my secret? He already knows one aspect of it and he hasn’t brought it up since I told him 6 years ago, but now it's coming back up and I have tremendous guilt for not telling him. What should I do?",10,2440,1,8,2
What is the US government’s worst kept secret?,6,75896,0,5,1
Should I tell my current boyfriend about a past secret relationship?,7,1278,1,7,0
"Whether it’s a small village, a secret garden, or a wonderful restaurant, what are some of India's best-kept secrets?",87,549983,0,70,17
What is your secret of balancing personal and professional life?,1,893,0,1,0
What are the trade secrets of your industry?,2,824,0,2,0
What was Fermat's last secret?,4,3510,0,4,0
"If you wanted to market a product to just a specific group of people and to keep it as secret as possible to everybody else, how could you do it?",4,3546,1,4,0
What cautions should be used at the time of pregnancy?,2,791,1,2,0
How do you tell your loved ones about the deepest darkest secret you have?,1,3438,1,1,0
What information does banks know about us?,2,427,0,2,0
Have you ever had to hide in a room or wardrobe to avoid being caught by someone? What were you doing?,8,9174,0,8,0
Do mothers secretly know about their children’s relationships?,2,522,1,2,0
Why is Amway so secretive?,4,2956,1,4,0
What was the secret behind the persistence of Abraham Lincoln?,1,235,0,1,0
Is a secret wedding a good idea?,9,1848,1,8,1
"For people who moved up the ranks quickly, what was your secret? (Be anonymous if you like)",3,525,0,3,0
"Imagine, you are a terrible person and your friend knows about your darkest secret but still shows no hatred towards you. What will you feel?",2,521,1,2,0
Has there been any consequences of the discovery of the secretive McKinsey Investment Office?,3,4637,0,3,0
What are some of the Secrets related to Mount Kailash?,1,7789,1,1,0
What are the top secrets that are declassified recently?,1,1324,0,1,0
What's something you know that you can't tell anyone?,6,8209,0,4,2
How do you deal with a secret marraige?,1,685,1,1,0
What's the secret to getting a high score in the Facebook soccer emoji game?,16,108753,1,15,1
why he is being awkward around me ?,1,661,1,1,0
What steps did you take to build your wealth?,3,2519,0,3,0
What is the secret behind Quora's successful people?,1,2843,0,1,0
It's okay to write anonymously. What's the one thing you would never want anybody to find out about you?,6,2118,0,2,4
What's your dirtiest secret you ever had?,1,1612,0,1,0
Have you ever been told a secret that you’d rather have not known?,5,4617,0,5,0
"Do you think that most people have three lives; a public life, a personal life and a secret life?",2,1417,1,1,1
What is the secret of being clever?,13,6959,0,11,2
What are some dirty secrets about NSIT?,1,8401,1,0,1
What are the deepest secrets of Hitler?,2,1686,0,2,0
What are some secrets that you haven't told to anyone and which are only within you?,4,10077,0,3,1
What have you been doing secretly in the dark?,7,4405,0,7,0
What is the secret behind Bermuda Triangle accidents?,1,812,0,1,0
Why do you keep your phone locked from your significant other?,5,1220,0,5,0
What are some Famous Paintings and their Meaning/Secrets?,1,2148,0,1,0
What is a state no one knows about?,1,402,0,1,0
Why I am telling my secrets to others?,1,826,0,1,0
"What is your dirtiest secret/story that you have had in Bangalore, India?",1,947,1,0,1
How do I deal deal with a manipulator who knows all your deep secrets?,5,2599,1,5,0
What is the secret about the High Sparrow that Cersei wants to know?,2,2074,0,2,0
What is a secret recipe you're willing to share?,5,15748,1,5,0
"If a secret information is needed and extracted by torture, is the probability that the information given is correct greater than 50%?",2,572,0,2,0
What is the secret of your cuteness?,9,62053,0,9,0
How much technology is the government hiding?,2,2202,1,2,0
What were some military secrets the Japanese wanted to know from POWs?,1,672,0,1,0
What are the dirty little secrets of Hollywood?,16,473988,0,13,3
How do people find out secrets?,2,1199,0,2,0
"What's the best thing someone ever ""let slip"" to you?",3,2229,0,3,0
What are the secrets for Jewish people's business successes?,9,3718,0,9,0
"Staying on the empty highway, or taking a turn for a very bumpy road, which leads to happier times?",1,341,0,1,0
A secret group ruling the world has chosen a random person that will reorganize life on the Earth. This person is you. What would you do?,15,3261,0,15,0
What are some business secrets?,1,10568,0,1,0
Should you be secretive to your children as well?,2,577,0,2,0
What makes secrets evil?,3,821,0,3,0
"If the Navy SEALs are supposed to be so secret, why do so many people have knowledge of them?",18,10928,0,18,0
Did Donald Trump reveal any sensitive secret information to Lavrov and Kislyak?,8,686,1,8,0
How does it feel to find out that your parent did something unforgivable?,83,2564345,1,51,32
What restrictions can the Secret Service legally place on the President's actions?,4,286358,0,4,0
"If a citizen intended to and could disclose critical state secrets, would an agent of our government preemptively kill or ""disappear"" them?",1,464,0,1,0
Do you keep your political views secret?,23,8151,0,22,1
"What are the dark secrets of the field, in which you work?",1,1133,1,1,0
Why didn't Dumbledore do more to hunt the Basilisk in The Chamber of Secrets?,7,5230,0,7,0
What are the secrets of Princess Diana?,5,236,0,5,0
"As a child, did you have a secret hiding spot when your parents quarreled?",7,3571,0,7,0
What is the strangest or most extreme thing a person has secretly built in his house?,2,1900,0,2,0
"Have you ever been sworn to secrecy, but since had a falling out allowing you to spill the beans (preferably on here!)?",2,2052,0,1,1
Which are some hidden secret foods dishes of India?,1,387,0,1,0
What are the most extreme scientific works that are real but secret?,1,393,0,1,0
Does everyone secretly want to be Irish?,4,832,1,4,0
Does every killer have a secret? Why or why not?,2,422,0,2,0
"What are the worst secrets of doctors, which no one knows about?",7,199041,1,7,0
How could I keep a relationship completely secret for a year?,4,2210,1,4,0
"When somebody holds an uncommon belief like Flat Earth or anti-vax, what percentage of those believers speak publicly about their belief versus keep it a secret? Which is better?",1,498,0,1,0
Is the secretion of oestrogen in women's bodies responsible for the curvature of their back?,2,1155,1,2,0
"Is it appropriate to say ""Ma ying-joeou charged over secrets leak""?",4,686,0,4,0
"Are airline pilots ever paired with co-pilots where they think, ""geez, not this guy again""?",6,785,0,6,0
Are you concerned that Donald Trump now has access to top secret information?,7,14437,0,7,0
Should we be friends with people who cannot keep secrets?,7,444,0,7,0
Can you describe your secret in less than 10 words?,3,1427,0,3,0
Did Dumbledore know who opened the Chamber of Secrets?,3,1233,0,3,0
"Could the government be hiding giants, demons, aliens, or something we should know?",10,3332,0,10,0
What are some secrets for great cardio?,4,989,0,3,1
What are the best Grow hacking secrets in China?,1,1234,0,1,0
How do you perform the Gamma Phi Beta secret handshake?,2,5818,1,2,0
Has Wikipedia ever been used to transmit secret code?,2,453,0,2,0
What are some of Michigan's best kept secrets?,7,4559,0,7,0
What are some secret Instagram tricks in 2017?,2,1506,0,2,0
What is something that you’ve witnessed but you’ve never shared with anybody else?,26,95158,0,26,0
"Could Quora one day work against me or others who are open and honest about things, and they could trace us?",1,259,0,1,0
Is Missandei hiding something? Could she be a child of the forest or a faceless man?,8,46184,1,8,0
What are some secret of picking vehicle locks?,1,276,0,1,0
Why is the rapidly spreading and deadly fungus Candida auris being kept a secret?,1,369,1,1,0
What is the Bank Secrecy Law in the Philippines?,2,930,0,2,0
What can be Google's Secret Cloud Weapon?,1,294,0,1,0
Can Secret Service agents work for two different administration (Bush and Obama)?,3,1258,0,3,0
"What secrets do CA's know that can help us commoners save taxes, also?",1,572,0,1,0
What do I do when a friend has a big secret of mine and a big mouth?,2,362,1,1,1
What are the few insider secrets for an ITIL certification?,3,164,0,3,0
What are the dirty secrets of IPL?,5,365302,1,5,0
Where are the nine protected secret books that are updated since Ashokan Empire?,1,1816,1,1,0
"What can I do? I was raped 20+ times by my swim coach when I was 8. Now that I'm 14, and 13 states away from him, I get horrible migraines from burning tears, self mutilate my ankles and torso, and I am insanely suicidal.",3,387,0,2,1
"When is it appropriate to keep secrets from people, in order not to hurt them?",3,1419,1,2,1
What is the secret of Sehwag's energy?,1,149,0,1,0
What is the beauty secret of iyengars?,1,3312,0,1,0
"What is the ""secret"" to creativity?",7,936,0,7,0
What is the secret to looking young forever?,2,2086,0,2,0
What are secrets of happiness in the life of Sahana Nagaraja?,1,1471,0,1,0
"What are some ""best kept secret"" spots in the Tohoku region of Japan?",1,2172,0,1,0
Why did Russia keep the chemical used in moscow theater seige a secret?,2,767,1,2,0
Men: What would you think if you just proposed to a woman and she gave you a journal instead? (Details!),6,4035,0,6,0
What is the secret thing you have done while your parents are at home?,3,12084,0,2,1
Where can I learn secret magic charms?,2,428,1,2,0
"If the FBI found classified Top Secret information on your computer, would you be prosecuted?",1,279,0,1,0
What are some firearms secrets that could save your life?,10,4387,0,10,0
Are some things kept confidential from the president?,2,430,0,2,0
How can I keep my secret life from my wife?,4,1971,0,3,1
What programming language is the video game Dead Secret written in?,1,1588,1,1,0
Did you steal anything in childhood which nobody knows until today?,4,504,0,4,0
What are the secret behinds the show Naked & Afraid (TV Series)?,2,11852,0,2,0
Is the world run by secret organizations instead of governments and royalty?,8,10380,0,8,0
Is fame the secret of profit from digital commerce?,1,184,0,1,0
What does it feel like to be under a gag order?,1,1070,1,1,0
What is the one secret you told to everyone but not on Quora?,3,645,1,3,0
How does Batman keep his identity a secret?,5,2986,0,5,0
Why do most people jealously guard their income and make a big secret of it?,4,1106,0,4,0
What are the secrets that you don't like to share even with your best friend but that you feel like sharing on Quora?,1,517,1,1,0
What are the secrets of Poland?,6,22300,1,6,0
What is your most disturbing secret?,2,1022,1,2,0
How does a desktop of a secret agent look like?,3,5185,0,3,0
"If you, as a maturing person, in every way, were to design your own secret friend, to help you to optimize yourself, what would it be like?",6,2418,0,6,0
What’s keeping Americans from finding out the truth about Obama? Why does the government keep his birth certificate and college credentials secret?,2,552,1,2,0
What was Johnny Morris' secret to beating Cabelas?,1,393,0,1,0
What is the secret to victory?,4,2747,0,4,0
"What would you do if you found out, as an adult, that your dad has kids from a previous marriage that he never told you about?",7,1822,0,7,0
What is the main secret behind marijuana?,1,980,1,1,0
Is there really a Book of Secrets?,3,1260,0,3,0
Is it true that Illuminati is ruling USA?,4,660,1,4,0
What does shroud of secrecy mean?,1,1896,0,1,0
What’s your favourite secret spot in the city you’re living in that most tourists don’t know about?,6,5339,0,6,0
What is the secret a great project managers will never share?,7,1395,1,7,0
What is your secret that you can't tell to your friends or even to your family?,8,3125,1,6,2
How do secret millionaires stay secret?,5,1506,0,5,0
What are some things CEOs know that others don't?,2,354,0,2,0
How did we crack RC4 without knowing the cipher?,1,784,0,1,0
What role does the Office of the CTO have in educating governmental leaders about the excessive and inappropriate use of government secrecy?,1,329,1,1,0
"Did Elon Musk post about his top secret Tesla Master Plan 2.0? If not, any guesses from fellow Quorans as to what it could be?",4,32017,0,4,0
"What would you do if a partner admits that they are keeping secrets from you, and then refuses to tell you what they are?",6,1344,0,6,0
Do people who have been raped keep it a secret?,4,731,1,1,3
"Do online friends count as true friends? We have similar interests, discuss our secrets and joke around.",2,447,0,2,0
"What are the popular, out of the way, or secret destinations for people from Portland, Oregon?",5,3288,0,5,0
"If Attorney General Barr doesn't release documents that implicate Trump, then claims that such documents don't exist, could an agency in possession of documents that disagree release redacted copies to prove that Barr is hiding information?",9,4765,0,9,0
Are there bases on mars?,1,265,0,1,0
Is there one secret that's greater/more important than every other secret?,1,3435,0,1,0
"Do former Presidents Carter and GHW Bush know any state secrets from their eras that they still can't reveal? If so, what might they be?",4,2257,0,3,1
What are a few dark secrets of popular celebrities?,1,5234,0,1,0
What are the secrets of Supplement industry?,5,855,0,5,0
"Should I be careful about not leaking company secrets, after I have been fired?",1,606,1,1,0
"Are there secret organizations that protect their country from the shadows, unknown to the public?",1,1058,0,1,0
Is it ethically wrong to share other people's secrets with your best friend?,9,2345,1,9,0
Why would a guy want to keep his confession a secret?,2,1075,1,2,0
What's a secret that a coworker shared with you?,3,345,0,3,0
Why are Americans and Russians hiding the findings of the moon missions? What is preventing them from revealing their secrets?,2,304,0,2,0
Did you discover a secret place in your college campus?,1,731,1,0,1
Who do I contact about a suspicious secret camera in my apartment?,2,827,0,2,0
Is it healthy for a couple to keep their marriage secret from friends and family?,2,1031,1,2,0
Should I disclose my success secrets to people?,3,1032,1,3,0
How does it feel to live with a terrible secret and never be able to share it because of the consequences that it would entail?,1,44,0,1,0
What are the ways that people discovered a secret of yours despite you never telling anyone or talking about or showing anything that would hint at it?,1,289,0,1,0
Why do psychologists keep psychological and intellectual assessment results secret from their clients?,9,1202,0,9,0
"What are secrets of the mattress industry, that many people might not be aware of?",3,648,1,3,0
"What is the secret behind having a great education, great culture and courage in order to do well financially?",1,2350,1,1,0
Are there secret u.s. prisons?,9,6364,0,9,0
Has anyone been in a marriage which nobody else knows about?,1,324,0,1,0
Where is the Rebel Alliance's secret base?,6,1416,1,5,1
Is there a secret group that’s controlling the U.S.?,8,5200,0,8,0
How do Most Stylish Actor Mr. Arjun Rampal follows his daily hair regime?,1,1731,0,1,0
Which are other most secretive companies like Panamanian law firm Mossack Fonseca?,1,2969,0,1,0
What are some great hidden bars and eateries with secret entrances around the world?,4,2053,0,4,0
What are some techniques or secrets that the Gracies don't teach to people outside the family?,5,579,1,5,0
How do you save money for your goals (small & big)?,10,2155,0,10,0
How can the secret law of attraction be explained scientifically?,4,1271,1,4,0
What do you secretly love and why?,2,4010,0,2,0
What unsolved secret would you like to be explained in your lifetime?,4,1119,0,4,0
What are best kept secrets about space missions?,1,1281,1,1,0
What do you think is Kentucky's secret?,5,999,0,5,0
"Do you believe that there is an SSP (secret space program) and also a Cabal group? If so, then when will be the disclosure to the world?",1,514,0,1,0
"How do I earn £1,000 a week by asking Quora questions, what is the secret ingredient?",5,809,0,5,0
Does our mind hide things from us?,5,3297,0,5,0
What is the secret that you knew about Victoria's Secret lingerie?,3,936,0,3,0
What are the best secrets to hopping trains?,1,308,1,1,0
How should I deal with my secret love for a total stranger?,3,824,0,3,0
How do people in the Military get assigned to work at Area 51 and what would happen if they went on Facebook and shared secrets about it?,2,555,0,2,0
Do you keep your skills a secret to get ahead in life?,7,1824,1,7,0
"What is the secret behind the global presence of Western news outlets vs Asian (China, etc.) ones?",1,1004,0,1,0
What are the chances that India has successfully tested KALI weapon and keeping it a secret?,1,12067,1,1,0
What is wrong or harmful about a secret habit?,4,2864,0,3,1
What is a double life that you are currently living or have ever lived that no one in your inner circle or personal life know about?,4,305,0,4,0
What is the cost of having secrets in your life?,5,2270,1,5,0
What is the secret to longevity?,4,833,0,4,0
"As an autistic person, how has your experience been with ""unmasking""?",1,2519,1,1,0
Why didn't Voldemort hide one of his Horcruxes in the Chamber of Secrets?,8,3075,0,8,0
Can you confess a secret?,11,12442,0,4,7
What are the bad effects of GST?,5,1408,0,4,1
What actually the biggest secret - professionals won't tell you - for building muscle?,1,1150,1,1,0
What is it like to have secretly liked MySpace more than Facebook?,2,328,0,2,0
What are the top secret defence projects commissioned by India which are currently wip?,14,62409,1,13,1
What are your qualities you're secretly proud of?,5,2215,0,5,0
How do I find a secret room in my house?,9,12750,1,8,1
What are some ways of starting a secret society?,4,1110,1,4,0
Could AI already be among us?,6,1660,0,6,0
Which are the world's most secretive missions?,1,1456,0,1,0
"If someone working for a secret military or intelligence organization is sent on a task, will they be prohibited from emailing and calling others?",1,365,1,1,0
Why does the British government keep Jack the ripper's identity secret?,4,435,0,4,0
You've been happily married for 37 years then suddenly find documents that your wife killed her ex in her native country. How would you react? Would you confront her?,8,1194,0,8,0
What is the secret behind Squirting? Why some women can squirt while others cannot?,1,7508,1,1,0
What secret did you discover going through a loved one's private belongings after they passed away?,4,16459,0,4,0
How long can a pregnancy be kept secret?,5,7833,0,5,0
Have you ever eavesdropped and heard a conversation that terrified you?,46,690791,0,43,3
"Is it a therapeutic need that makes people want to tell their most intimate, often personal secrets on Quora? Is it a relief to share their very detailed past lives because no one in real life will listen?",6,1633,0,6,0
What is the best SEO secret that you want to share?,10,2022,0,10,0
Pandith Jawaharlal Nehru: Secret behind his stringent routine and zeal - Unknown facts of a True Statesman India has ever seen.,1,1269,0,1,0
Why are there so many people here that are curious about others’ hidden secrets and/or shameful moments?,2,995,0,2,0
Would 1000 miles long secret underground tunnel be feasible somewhere on Earth?,1,415,0,1,0
Have you ever revealed a secret that you promised to keep for what you thought was the right decision?,1,471,0,1,0
Do Apple employees tell company secrets to their significant others?,3,2290,1,3,0
What is the biggest secret your parents ever kept from you?,2,3377,0,2,0
"If a lieutenant in the US Army sent emails on an unauthorized system with Top Secret info, would they lose their Top Secret Clearance?",6,1429,0,6,0
What are the secrets on Mars?,6,6813,0,6,0
How do I keep my friend's secret?,9,974,1,9,0
"Why do some people share their secrets on Quora without anonymity, aren't they afraid of being discovered by their family and friends?",2,325,1,2,0
Do you want a secret life? What would you like to be?,1,710,0,1,0
Do doctors outside the UK have secret codes?,6,2811,0,6,0
What do you put on your resume when your old job was top secret?,6,23437,0,6,0
"Are there ""top secret"" human colonies on the moon?",7,4842,0,6,1
What would happen to Donald if he tweeted state secrets or classified material?,9,946,0,9,0
"What would happen if a country decided to go full transparency, with no secrets whatsoever?",4,1135,0,4,0
"If you have met very rich people who have failed in school despite working hard as a student, what do you think is the secret of their success?",5,9079,1,5,0
"What incidents/actions are you hiding that have bothered you since it occurred, that you would like to share anonymously (to relieve yourself of guilt)?",3,793,0,3,0
What do good guys hide?,3,678,0,3,0
"If the government wanted to coverup a kaiju (giant monster) attack on a major city, how would they go about it?",3,2302,0,3,0
Which presidents do you think are secretly athiests?,3,591,0,3,0
What are some secret photos of Kiara Advani?,3,45656,1,3,0
What is the secret of dealing with pain without ignoring it?,3,455,0,3,0
"How effective, useful and creepy would the power to know people's secrets be?",4,1082,0,4,0
Would a Secret-Keeper divulge the secret if Veritaserum was used upon them? How about the Imperius Curse?,2,1486,0,2,0
What are the secrets of your industry?,3,11384,0,3,0
"If information is power, how powerful of a person are you?",5,351,0,5,0
What is the secret to a man's affections?,10,2447,0,8,2
"What was your reaction when somebody shared their deepest darkest secret with you, and you already knew it somehow?",5,8234,1,4,1
Why do people say all secrets and lies eventually come out when a lot of the time they don't?,8,4692,0,8,0
What are the success secrets of Alexander the Great?,1,562,1,1,0
A friend has trusted me with their secret but I told it to others. Have I betrayed my friend? How will I regain that friend’s trust back?,10,828,1,9,1
"If you faced your deepest darkest thought or desire, would you still be who you are now?",6,1619,0,6,0
Is it possible that scientists have discovered many important secrets about humanity but decided not to reveal them for specific reasons?,4,1268,1,4,0
"Who is/was your secret crush, and why?",1,823,0,1,0
"Why is there such a concept of not revealing the secret of us/the universe to anyone (gnosis, moksha, enlightenment) but to keep it hidden from people?",13,3900,0,13,0
Do you secretly like it a little when pizza is so hot it burns the roof of your mouth?,10,1523,0,10,0
What are some secrets the German government doesn't want us to know?,4,10830,0,3,1
"Could a scientist have invented something amazing that breaks the laws of physics, but the technology is being kept secret?",3,4874,0,3,0
Do you keep your job a secret from family and friends? What do they think you do?,7,4296,0,6,1
Evolution is hiding a big secret--what is it?,2,208,1,2,0
Why is statistical arbitrage so much shrouded with secrecy?,1,602,0,1,0
Should l confront my mother for sharing almost all my secrets with my dad?,5,920,1,4,1
What is your secret thing at home and in the workplace?,1,225,1,0,1
What is that secret ingredient in F.R.I.E.N.D.S. that makes it funny every time you watch it?,2,198,0,1,1
"If you had a spy mosquito for a day, what would you use it for?",1,312,0,1,0
What is the secret behind the huge technological marvels of Israel?,2,1118,0,2,0
What is your secret to maintain your relationship?,6,7609,1,5,1
What is something you are embarrassed to admit you are really into?,5,1985,0,4,1
What are a girl's secrets that a boy shouldn't/doesn't know?,54,634031,1,47,7
What hobbies do you enjoy but keep secret from others? Why do you hide these secret pastimes?,7,4016,0,4,3
What should I do if I find out that my husband has a secret Tagged account?,3,2507,0,3,0
I'm hiding that I'm gay. Am I hiding something very substantial?,9,1960,1,9,0
What are the ugly little secrets of 'It Works!' Global?,8,5195,0,8,0
"What are some of the hallmarks of a successful Secret Agent, character trait and skill-wise?",1,1206,1,1,0
What secret were you told that made you angry?,11,11351,0,11,0
